REPO,archive,technology,path,stars,first_commit,introduced_at,latest_commit,dev_percentage
jferrater/opa-data-filter-spring-boot-starter,jferrater-opa-data-filter-spring-boot-starter.tar.gz,opa,opa-datafilter-core/src/integrationTest/resources/petclinic.rego,26.0,2020-02-17 17:24:03+01:00,2020-04-24 21:15:35+02:00,2020-12-10 01:47:01+00:00,22.6454689591739
diwise/iot-device-mgmt,diwise-iot-device-mgmt.tar.gz,opa,assets/config/authz.rego,1.0,2022-03-30 17:59:55+02:00,2022-08-19 00:33:22+02:00,2025-03-21 17:18:18+00:00,12.995966429540600
google/gke-policy-automation,google-gke-policy-automation.tar.gz,opa,gke-policies/rule/cluster/location.rego,525.0,2021-10-19 22:07:38+02:00,2022-03-08 11:07:33+01:00,2025-03-21 09:28:45+00:00,11.17957372008170
tvories/k8s-gitops,tvories-k8s-gitops.tar.gz,kyverno,archive/cluster/apps/system/kyverno/policies/sync-zalando-postgres-secrets.yaml,19.0,2021-06-21 12:27:32-07:00,2023-09-22 15:46:33-06:00,2025-06-10 02:34:42+00:00,56.7928272678246
shiblon/entroq,shiblon-entroq.tar.gz,opa,pkg/authz/opadata/conf/core/core-entroq-authz.rego,22.0,2018-05-22 15:13:54-04:00,2021-02-25 17:20:23-05:00,2023-06-30 16:29:30+00:00,54.165755579219
kubesphere/helm-charts,kubesphere-helm-charts.tar.gz,opa,src/main/ks-core/files/extensions.customresourcefilters.rego,106.0,2019-02-13 13:25:10+08:00,2024-09-09 11:43:52+08:00,2025-04-18 05:37:57+00:00,90.2004275444087
cloudposse/terraform-aws-components,cloudposse-terraform-aws-components.tar.gz,opa,deprecated/spacelift/rego-policies/access.default.rego,531.0,2018-04-26 13:55:42-07:00,2023-06-09 10:27:43-04:00,2025-04-22 17:45:27+00:00,73.2403968240421
orange-opensource/optisam-backend,Orange-OpenSource-optisam-backend.tar.gz,opa,notification-service/cmd/server/rbac.rego,21.0,2019-12-11 19:13:56+05:30,2023-11-03 10:11:46+05:30,2023-11-03 04:43:19+00:00,99.99992433781120
linode/apl-core,linode-apl-core.tar.gz,kyverno,charts/team-ns/templates/policies/other/required-label.yaml,2238.0,2019-07-21 22:10:17+02:00,2024-06-21 11:24:31+02:00,2025-06-10 12:47:00+00:00,83.533644689097
open-policy-agent/gatekeeper-library,open-policy-agent-gatekeeper-library.tar.gz,opa,mutation/pod-security-policy/read-only-root-filesystem/samples/mutation.yaml,676.0,2019-06-11 12:30:33-07:00,2022-02-02 19:03:00-08:00,2025-06-09 19:09:12+00:00,44.169897268932900
intel/confidential-computing-zoo,intel-confidential-computing-zoo.tar.gz,opa,cczoo/horizontal_fl_coco/coco_tools/verdictd/opt/verdictd/opa/sgxPolicy.rego,326.0,2021-11-25 14:27:30+08:00,2023-06-12 17:54:40+08:00,2025-04-09 08:05:04+00:00,45.82557406927330
securehats/securehacks,SecureHats-SecureHacks.tar.gz,azure,policies/governance/RoleAssignments/azurepolicy.json,11.0,2021-06-03 18:15:43+02:00,2021-09-22 10:30:24+02:00,2023-02-08 09:22:12+00:00,18.004644934610700
osnabrugge/home-ops,osnabrugge-home-ops.tar.gz,kyverno,kubernetes/apps/kyverno/kyverno/policies/volsync-movers.yaml,6.0,2023-03-23 22:27:26-04:00,2025-04-13 10:04:20-04:00,2025-06-10 03:22:47+00:00,92.8860636900621
giantswarm/kyverno-policies,giantswarm-kyverno-policies.tar.gz,kyverno,helm/kyverno-policies/templates/supplemental/disallow-gitrepo-volume.yaml,4.0,2022-11-15 14:00:52-05:00,2025-02-25 14:14:22-05:00,2025-05-20 08:37:10+00:00,90.88364392396360
azure/enterprise-scale,Azure-Enterprise-Scale.tar.gz,azure,src/resources/Microsoft.Authorization/policyDefinitions/DenyAction-ActivityLogs.json,1822.0,2020-06-15 11:57:41+01:00,2023-10-11 08:46:45+01:00,2025-06-22 05:05:48+00:00,66.17725697870950
elastisys/compliantkubernetes-apps,elastisys-compliantkubernetes-apps.tar.gz,opa,helmfile.d/charts/gatekeeper/podsecuritypolicies/templates/custom/read-only-root.yaml,52.0,2020-10-30 13:54:39+01:00,2023-12-22 15:12:48+01:00,2025-06-09 12:45:34+00:00,68.2150073527968
suse-edge/charts,suse-edge-charts.tar.gz,opa,charts/metallb/0.14.3/policy/speaker.rego,10.0,2023-03-12 13:39:11+00:00,2024-03-07 12:14:35+00:00,2025-06-04 15:23:34+00:00,44.28333125278860
diamondlightsource/workflows,DiamondLightSource-workflows.tar.gz,kyverno,charts/sessionspaces/templates/pod-clusterpolicy.yaml,6.0,2024-03-01 12:59:21+00:00,2024-06-21 09:13:52+00:00,2025-06-27 15:41:37+00:00,23.15058531509690
elastic/cloud-on-k8s,elastic-cloud-on-k8s.tar.gz,kyverno,hack/deployer/runner/kyverno/install/gke-policies.yaml,2724.0,2018-10-30 12:17:04+01:00,2024-05-17 10:12:46+00:00,2025-06-06 08:12:39+00:00,84.03413385837260
fahlke/flux-kind,fahlke-flux-kind.tar.gz,kyverno,kyverno-policies/add-default-labels-to-all-namespaces.yaml,0.0,2022-08-02 09:33:44+02:00,2023-06-30 01:11:18+02:00,2023-11-11 17:55:38+00:00,71.10386440955880
doitintl/kube-no-trouble,doitintl-kube-no-trouble.tar.gz,opa,pkg/rules/rego/deprecated-1-27.rego,3498.0,2020-04-08 18:55:02+01:00,2023-08-23 14:54:28+02:00,2025-01-11 19:00:30+00:00,70.83145894584250
omc-college/management-system,omc-college-management-system.tar.gz,opa,pkg/rbac/opa/authorization.rego,1.0,2020-03-28 12:24:34+02:00,2020-05-19 12:00:12+03:00,2020-07-20 18:55:56+00:00,45.42115295899450
confidential-containers/trustee,confidential-containers-trustee.tar.gz,opa,kbs/sample_policies/deny_all.rego,93.0,2022-04-25 14:45:04+02:00,2024-02-20 10:10:28-05:00,2025-06-09 05:51:17+00:00,58.39340625808630
chaitin/veinmind-tools,chaitin-veinmind-tools.tar.gz,opa,plugins/go/veinmind-iac/rules/dockerfile/add_package.rego,1592.0,2022-02-08 16:12:16+08:00,2022-11-09 15:45:40+08:00,2024-01-10 09:08:30+00:00,39.08220625026600
workshoporgtest/tailspin-spacegame,WorkshopOrgTest-tailspin-spacegame.tar.gz,azure,policies/Web_Application_should_only_be_accessible_over_HTTPS_a4af4a39-4135-47fb-b175-47fbdf85311d/policy.json,0.0,2020-02-23 14:33:31-08:00,2021-04-03 15:56:05+05:30,2023-10-10 08:41:40+00:00,30.541227666090500
portefaix/portefaix-policies,portefaix-portefaix-policies.tar.gz,opa,opa/lib/konstraint/security.rego,1.0,2021-02-28 18:37:09+01:00,2021-04-28 12:09:23+02:00,2025-01-05 14:44:17+00:00,4.17157489318283
operate-first/continuous-delivery,operate-first-continuous-delivery.tar.gz,opa,policy/openshift.rego,2.0,2020-09-14 12:31:44+02:00,2020-10-25 15:10:29+01:00,2022-02-23 21:12:23+00:00,7.802124932350420
ultra-supara/sisakulint,ultra-supara-sisakulint.tar.gz,opa,script/actions/inherit.rego,29.0,2023-10-16 14:59:39+09:00,2025-03-29 22:35:08+09:00,2025-05-20 05:09:06+00:00,91.12513687118430
nerddotdad/truecharts,nerddotdad-truecharts.tar.gz,kyverno,backups/core/kyverno-policies/app/schematic-to-pod.yaml,1.0,2024-08-12 14:44:02-07:00,2024-12-21 20:36:26-08:00,2025-06-10 13:10:55+00:00,43.523667953047200
googlecloudplatform/gke-policy-library,GoogleCloudPlatform-gke-policy-library.tar.gz,gatekeeper,anthos-bundles/nist-sp-800-190/block-secrets-of-type-basic-auth.yaml,62.0,2020-03-31 01:03:05-05:00,2023-07-13 16:55:40-07:00,2025-06-27 15:58:12+00:00,62.66906236569540
thoth-station/thoth-application,thoth-station-thoth-application.tar.gz,opa,policy/openshift.rego,12.0,2020-02-26 20:10:14+01:00,2020-06-08 10:49:38+02:00,2023-07-31 01:36:22+00:00,8.203762363273780
vmware/dod-compliance-and-automation,vmware-dod-compliance-and-automation.tar.gz,gatekeeper,tkg/2.1.0/gatekeeper-policies/tkg/repo/constraint.yaml,169.0,2019-12-17 11:34:23-06:00,2023-07-13 12:27:45-06:00,2025-06-03 13:45:45+00:00,65.37046871861300
govuk-one-login/authentication-api,govuk-one-login-authentication-api.tar.gz,checkov-yaml,checkov-policies/log-retention.yaml,15.0,2021-05-25 13:24:00+01:00,2024-06-12 17:23:43+01:00,2025-06-10 13:53:47+00:00,75.43124163016040
microsoft/genaiscript,microsoft-genaiscript.tar.gz,azure,packages/sample/src/azure-lza/02-spoke/modules/policy/policy-definitions/aca-no-monitoring.json,2637.0,2023-08-17 15:57:21+00:00,2024-01-23 15:07:37-08:00,2025-05-27 18:13:57+00:00,24.541681939002100
controlplaneio/threat-modelling-labs,controlplaneio-threat-modelling-labs.tar.gz,gatekeeper,lab4/local/source/policy/privileged/constraint.yaml,31.0,2021-07-15 10:30:54+01:00,2023-01-23 13:14:40+00:00,2023-01-23 13:17:52+00:00,99.99960115016660
redhat-cop/rego-policies,redhat-cop-rego-policies.tar.gz,opa,policy/lib/memory/src.rego,167.0,2020-05-10 22:59:35-04:00,2025-02-12 10:59:01+00:00,2025-05-15 09:15:20+00:00,94.97732832506650
jameswoolfenden/terraform-gcp-storage,JamesWoolfenden-terraform-gcp-storage.tar.gz,checkov-py,checkov/BucketsNotPublic.py,1.0,2019-10-22 16:59:44+01:00,2021-02-13 17:54:06+00:00,2023-10-09 20:40:53+00:00,33.150186316271400
grafana/mimir,grafana-mimir.tar.gz,opa,operations/policies/poddisruptionbudget.rego,4516.0,2019-11-20 17:00:23+00:00,2023-07-11 10:22:47+10:00,2025-06-10 09:05:11+00:00,65.4767518730115
bacalhau-project/bacalhau,bacalhau-project-bacalhau.tar.gz,opa,ops/marketplace-tf/modules/instance_files/authz_policy.rego,806.0,2022-02-03 13:56:07-08:00,2024-03-12 13:42:35-07:00,2025-06-05 14:54:23+00:00,63.06515881357780
eclipse-symphony/symphony,eclipse-symphony-symphony.tar.gz,gatekeeper,docs/samples/k8s/gatekeeper/policy.yaml,47.0,2023-02-16 17:28:55-08:00,2023-10-20 23:23:18+00:00,2025-06-03 16:55:10+00:00,29.35769760215830
fairwindsops/charts,FairwindsOps-charts.tar.gz,opa,incubator/opa/policies/ingress-conflicts.rego,145.0,2019-01-14 10:57:05-07:00,2019-03-27 09:46:59-06:00,2025-06-26 18:58:49+00:00,3.0534328560426100
rwejlgaard/pez-k8s,RWejlgaard-pez-k8s.tar.gz,kyverno,kyverno-custom-policies/default-pod-resources.yaml,0.0,2022-12-11 02:52:44+00:00,2023-04-07 13:53:01+00:00,2023-07-12 13:58:39+00:00,55.02538475656690
googlecloudplatform/cloud-foundation-toolkit,GoogleCloudPlatform-cloud-foundation-toolkit.tar.gz,opa,reports/sample/vm.rego,1029.0,2019-03-28 17:04:22-04:00,2019-09-29 18:48:04+10:00,2025-06-27 17:41:23+00:00,8.081474912613770
nl-ams-locgov/zaakafhandelcomponent,NL-AMS-LOCGOV-zaakafhandelcomponent.tar.gz,opa,src/main/resources/policies/zaak-rechten.rego,9.0,2021-10-16 17:18:19+02:00,2022-10-05 22:18:56+02:00,2024-08-02 12:58:34+00:00,34.6956349858907
orchestracities/anubis,orchestracities-anubis.tar.gz,opa,config/opa-service/rego/nop.rego,8.0,2021-01-26 11:56:22+01:00,2023-01-20 10:20:29+01:00,2023-08-10 12:21:47+00:00,78.17354687340360
cvat-ai/cvat,cvat-ai-cvat.tar.gz,opa,cvat/apps/quality_control/rules/quality_utils.rego,13866.0,2018-06-29 22:39:37+03:00,2024-10-10 10:12:51+02:00,2025-06-09 12:06:55+00:00,90.45358463383510
stackabletech/opa-operator,stackabletech-opa-operator.tar.gz,opa,rust/regorule-library/src/userinfo/v1.rego,18.0,2021-04-15 14:50:40+02:00,2024-08-06 15:44:45+00:00,2025-06-06 15:20:59+00:00,79.90994553530830
datadog/security-agent-policies,DataDog-security-agent-policies.tar.gz,opa,compliance/containers/cis-docker-1.2.0-2.5.rego,24.0,2020-07-30 16:34:52-04:00,2021-11-12 20:09:38+01:00,2025-06-12 18:28:59+00:00,26.432166305722900
mxab/nacp,mxab-nacp.tar.gz,opa,misc/hashitalk_secure2024/digest/digest.rego,43.0,2023-02-11 13:28:44+01:00,2024-05-17 17:45:54+02:00,2025-06-08 22:00:11+00:00,54.35391781342720
microsoft/hcsshim,microsoft-hcsshim.tar.gz,opa,internal/regopolicyinterpreter/module.rego,613.0,2017-06-27 14:28:56-07:00,2023-01-10 15:46:46-08:00,2025-06-05 17:10:46+00:00,69.76623435093430
houssemdellai/productsstoreonkubernetes,HoussemDellai-ProductsStoreOnKubernetes.tar.gz,gatekeeper,opa-gatekeeper/all_ns_must_have_gatekeeper.yaml,143.0,2018-09-26 23:38:19+02:00,2020-12-12 10:31:07+01:00,2023-03-15 04:44:39+00:00,49.530574073471900
fybrik/charts,fybrik-charts.tar.gz,opa,charts/fybrik/files/opa-server/policy-lib/allow-by-default.rego,0.0,2021-03-01 01:00:46+02:00,2023-03-05 12:46:29+02:00,2023-11-18 21:00:00+00:00,73.97302306568590
openshift-4-compliance/openshift-4-compliance-automation,openshift-4-compliance-openshift-4-compliance-automation.tar.gz,opa,open-policy-agent/trusted-image-sources/disallowed-registries/constraint.yaml,11.0,2021-03-14 10:42:10+02:00,2021-10-31 17:12:08+02:00,2022-03-19 15:12:30+00:00,62.45986580151800
ergho/homelab-ops,ergho-homelab-ops.tar.gz,kyverno,cluster/apps/kyverno/kyverno/policies/volsync-movers.yaml,16.0,2022-03-07 21:25:11+01:00,2025-01-12 21:34:01+01:00,2025-06-09 04:24:58+00:00,87.61263448014220
kaapana/kaapana,kaapana-kaapana.tar.gz,opa,services/kaapana-admin/auth-backend/auth-backend-chart/files/auth-policies.rego,196.0,2020-09-24 11:03:59+02:00,2024-09-24 10:08:35+02:00,2025-06-03 13:17:10+00:00,85.27796792494520
scribe-public/gitgat,scribe-public-gitgat.tar.gz,opa,github/token.rego,250.0,2022-06-16 08:00:57+03:00,2022-10-24 11:44:33-04:00,2023-03-08 08:00:06+00:00,49.2021630830285
thedarthmole/upswake,TheDarthMole-upswake.tar.gz,opa,rules/alwaysTrue.rego,9.0,2023-10-04 22:41:32+01:00,2024-01-08 16:48:08+00:00,2025-06-27 16:40:57+00:00,15.162642446387900
aermie/devsecops,AErmie-DevSecOps.tar.gz,azure,Infrastructure-Source-Code/AzureBicep-Examples/201/policy-definition-with-assignment/main.json,31.0,2021-02-22 07:49:53-05:00,2023-02-09 14:59:33-05:00,2025-06-18 11:19:30+00:00,45.48680595884060
qlonik/musical-parakeet,qlonik-musical-parakeet.tar.gz,kyverno,kubernetes/main/apps/kyverno/kyverno/policies/ingress-auth-annotations.yaml,3.0,2022-09-19 16:37:18-04:00,2024-02-07 17:32:03-05:00,2025-06-07 00:38:46+00:00,51.05893735886340
ossf/alpha-omega,ossf-alpha-omega.tar.gz,opa,omega/oaf/omega/assertion/policy/builtin/no_antivirus_findings.rego,105.0,2021-11-09 13:36:56-08:00,2023-03-05 15:32:06-08:00,2025-05-14 16:51:53+00:00,37.53153440292310
replicatedhq/kots-lint,replicatedhq-kots-lint.tar.gz,opa,pkg/kots/rego/builders-opa.rego,6.0,2020-03-26 20:52:50+00:00,2023-06-29 15:01:22-07:00,2025-05-20 21:49:05+00:00,63.26543750829700
intel/policy-library-intel-azure,intel-policy-library-intel-azure.tar.gz,hashicorp-sentinel,policies/intel-azurerm-windows-web-app-enforce-http2/intel-azurerm-windows-web-app-enforce-http2.sentinel,13.0,2022-11-25 10:07:09-07:00,2023-04-14 09:43:06-05:00,2025-01-16 18:14:03+00:00,17.866113024193500
portefaix/portefaix-hub,portefaix-portefaix-hub.tar.gz,kyverno,charts/portefaix-kyverno/templates/policy-C0003.yaml,7.0,2020-12-02 12:09:24+01:00,2021-06-28 18:39:54+02:00,2025-06-04 22:40:03+00:00,12.654639510816400
phylum-dev/policy,phylum-dev-policy.tar.gz,opa,minimal_code.rego,0.0,2023-03-13 19:20:01-05:00,2024-04-24 14:51:39-05:00,2025-02-11 13:02:43+00:00,58.21504238145730
h3mmy/bloopysphere,h3mmy-bloopySphere.tar.gz,kyverno,cluster/apps/kyverno/policies/add-prom-probes.yaml,62.0,2021-10-27 15:05:14-04:00,2022-10-23 14:24:31-04:00,2025-06-27 12:58:52+00:00,26.963429816632
circleci-public/circle-policy-agent,CircleCI-Public-circle-policy-agent.tar.gz,opa,internal/helpers/rego/utils/utils.rego,4.0,2022-06-23 10:31:22-04:00,2023-01-23 10:12:28-05:00,2025-05-07 15:25:58+00:00,20.40236470639170
trosvald/home-ops,trosvald-home-ops.tar.gz,kyverno,kubernetes/infra/apps/kyverno/kyverno/policies/volsync-movers.yaml,2.0,2024-08-16 15:28:21+07:00,2024-11-22 16:28:01+07:00,2025-06-10 08:17:09+00:00,32.900669169839100
teialabs/tauth,TeiaLabs-tauth.tar.gz,opa,resources/policies/tauth_utils.rego,0.0,2023-08-22 17:38:47-03:00,2024-12-19 16:01:24-03:00,2025-06-04 12:14:57+00:00,74.41606484393160
alexrogalskiy/kotlin-patterns,AlexRogalskiy-kotlin-patterns.tar.gz,opa,policy/kubernetes.rego,4.0,2020-12-13 09:47:11+03:00,2021-08-12 01:00:55+03:00,2025-06-27 02:40:35+00:00,14.584158865968300
notaryproject/ratify,ratify-project-ratify.tar.gz,gatekeeper,library/notation-validation/template.yml,264.0,2021-08-13 11:17:54-05:00,2023-05-12 17:11:27+00:00,2025-06-10 02:38:51+00:00,45.618944959869100
kubev2v/forklift,kubev2v-forklift.tar.gz,opa,validation/policies/io/konveyor/forklift/ovirt/debug.rego,88.0,2020-04-21 13:35:49-05:00,2022-09-08 13:15:18+03:00,2025-06-10 11:35:13+00:00,46.36395737599420
cloudnativegbb/cluster-baseline,CloudNativeGBB-cluster-baseline.tar.gz,opa,manifests/gatekeeper/policies/containerlimits/src.rego,4.0,2020-01-15 13:20:07-08:00,2020-06-01 13:30:02-05:00,2020-12-15 18:00:18+00:00,41.175827701710700
