number,safe_repo,repo_name,archive,repo_id,technology,path
320,pauldotyu/azure-platform-terraform,pauldotyu/azure-platform-terraform,pauldotyu-azure-platform-terraform.tar.gz,382422414.0,azure,lib/policy_definitions/policy_definition_cu_audit_windows_server_missing_byol.json
321,terraform-in-action/manning-code,terraform-in-action/manning-code,terraform-in-action-manning-code.tar.gz,189592382.0,hashicorp-sentinel,chapter13/listing13.10/block.sentinel
322,stackabletech/hdfs-utils,stackabletech/hdfs-utils,stackabletech-hdfs-utils.tar.gz,747281304.0,opa,rego/hdfs.rego
323,sapcc/helm-charts,sapcc/helm-charts,sapcc-helm-charts.tar.gz,72561765.0,opa,system/gatekeeper-config/templates/constraint-images-from-non-keppel.yaml
324,star3am/hashiqube,star3am/hashiqube,star3am-hashiqube.tar.gz,663240320.0,hashicorp-sentinel,sentinel/sentinel/passthrough.sentinel
325,hc-ippm/devsecops-platform,hc-ippm/devsecops-platform,HC-IPPM-devsecops-platform.tar.gz,794756486.0,kyverno,policies/restrict-git-repo.yaml
326,azure/ai-hub,azure/ai-hub,Azure-ai-hub.tar.gz,757336183.0,azure,enablement/policies/datafactory/Compliant-DataFactoryPolicySetDefinition.json
327,sunbird-lern/userorg-service,sunbird-lern/userorg-service,Sunbird-Lern-userorg-service.tar.gz,96121797.0,opa,helm/learner_opa_policies/service-policies/policies.rego
328,obmondo/kubeaid,obmondo/kubeaid,Obmondo-kubeaid.tar.gz,588096510.0,opa,argocd-helm-charts/gatekeeper/policies/CronJobForbidConcurrency.rego
329,azure/aro-rp,azure/aro-rp,Azure-ARO-RP.tar.gz,224878780.0,opa,pkg/operator/controllers/guardrails/policies/gkconstraints/aro-master-toleration-pod-deny.yaml
330,bestchains/installer,bestchains/installer,bestchains-installer.tar.gz,580737584.0,kyverno,u4a-component/charts/cluster-component/charts/openebs/templates/kyverno/allow-privilege-escalation.yaml
331,styrainc/regal,styrainc/regal,StyraInc-regal.tar.gz,592365615.0,opa,bundle/regal/lsp/completion/main.rego
332,alexrogalskiy/quotes,alexrogalskiy/quotes,AlexRogalskiy-quotes.tar.gz,334777292.0,opa,policy/deny.rego
333,erkules/dufluxdu,erkules/dufluxdu,erkules-dufluxdu.tar.gz,500604744.0,kyverno,base/security/kubescape-findings/clean_unkonwn_users.yaml
334,apersant1/spottier,apersant1/spottier,Apersant1-Spottier.tar.gz,692842067.0,cloud-custodian,services/policy-service/policies.yaml
