repo_name,archive_name,repo_id,path,ref,size,technology,id
XenitAB/gatekeeper-library,XenitAB-gatekeeper-library.tar.gz,284453143.0,charts/gatekeeper-library-templates/generated/k8spspseccomp.yaml,4576090c506db3aa2efd6abe6fed532d7bf1215b,11631.0,gatekeeper,284453143.0
XenitAB/gatekeeper-library,XenitAB-gatekeeper-library.tar.gz,284453143.0,charts/gatekeeper-library-templates/generated/k8simagedigests.yaml,4576090c506db3aa2efd6abe6fed532d7bf1215b,3188.0,gatekeeper,284453143.0
XenitAB/gatekeeper-library,XenitAB-gatekeeper-library.tar.gz,284453143.0,charts/gatekeeper-library-templates/generated/k8sstorageclass.yaml,4576090c506db3aa2efd6abe6fed532d7bf1215b,6405.0,gatekeeper,284453143.0
c0c0n3/kitt4sme,c0c0n3-kitt4sme.tar.gz,340392094.0,poc/deployment/manual/opa/rego/fiware/rsa-key-pair.rego,7e9f9adefa1b39a685f4ded990b0322111a5e70c,4024.0,opa,340392094.0
c0c0n3/kitt4sme,c0c0n3-kitt4sme.tar.gz,340392094.0,poc/deployment/manual/opa/rego/fiware/service.rego,7e9f9adefa1b39a685f4ded990b0322111a5e70c,3929.0,opa,340392094.0
haraldkoch/kochhaus-home,haraldkoch-kochhaus-home.tar.gz,373614328.0,kubernetes/main/apps/kyverno/kyverno/policies/add-safe-to-evict.yaml,8c2ffda687325e38a09e65acd4cddaaf8fd2adc8,1488.0,kyverno,373614328.0
haraldkoch/kochhaus-home,haraldkoch-kochhaus-home.tar.gz,373614328.0,.archive/kubernetes/apps/kyverno/kyverno/policies/snapshot-cronjob-controller.yaml,8c2ffda687325e38a09e65acd4cddaaf8fd2adc8,6923.0,kyverno,373614328.0
evry-ace/helm-charts,evry-ace-helm-charts.tar.gz,143923640.0,policy/deny.rego,b3345455d5496dc45a4b7ee0532791f1698b5604,1106.0,opa,143923640.0
kuberise/kuberise.io,kuberise-kuberise.io.tar.gz,670271424.0,values/onprem/platform/policy/add-labels.yaml,7dd51a8dc9e84475ebd5d73a7b0dfd263ab40c35,366.0,kyverno,670271424.0
kuberise/kuberise.io,kuberise-kuberise.io.tar.gz,670271424.0,values/onprem/platform/policy/generate-secret.yaml,7dd51a8dc9e84475ebd5d73a7b0dfd263ab40c35,450.0,kyverno,670271424.0
kuberise/kuberise.io,kuberise-kuberise.io.tar.gz,670271424.0,values/onprem/platform/policy/require-labels.yaml,7dd51a8dc9e84475ebd5d73a7b0dfd263ab40c35,558.0,kyverno,670271424.0
aquasecurity/chain-bench,aquasecurity-chain-bench.tar.gz,491440930.0,internal/checks/common/assets/utils.rego,936b65a3576ed5f1bc99bef5d9e7ec513a352de3,310.0,opa,491440930.0
aquasecurity/chain-bench,aquasecurity-chain-bench.tar.gz,491440930.0,internal/checks/dependencies/third-party-packages/rules.rego,936b65a3576ed5f1bc99bef5d9e7ec513a352de3,1119.0,opa,491440930.0
aquasecurity/chain-bench,aquasecurity-chain-bench.tar.gz,491440930.0,internal/checks/artifacts/access-to-artifacts/rules.rego,936b65a3576ed5f1bc99bef5d9e7ec513a352de3,1793.0,opa,491440930.0
aquasecurity/chain-bench,aquasecurity-chain-bench.tar.gz,491440930.0,internal/checks/dependencies/validate_packages/rules.rego,936b65a3576ed5f1bc99bef5d9e7ec513a352de3,1754.0,opa,491440930.0
aquasecurity/chain-bench,aquasecurity-chain-bench.tar.gz,491440930.0,internal/checks/common/assets/consts.rego,936b65a3576ed5f1bc99bef5d9e7ec513a352de3,2187.0,opa,491440930.0
aquasecurity/chain-bench,aquasecurity-chain-bench.tar.gz,491440930.0,internal/checks/build-pipelines/pipeline-instructions/rules.rego,936b65a3576ed5f1bc99bef5d9e7ec513a352de3,3430.0,opa,491440930.0
trevorbox/service-mesh-patterns,trevorbox-service-mesh-patterns.tar.gz,272547438.0,ossm-2.4/secure-ingressgateway/helm/gatekeeper-constraints/templates/k8srequiredannotations-require-sidecar-annotation.yaml,8087ad542b9071a72156113832527113f63cf822,625.0,gatekeeper,272547438.0
trevorbox/service-mesh-patterns,trevorbox-service-mesh-patterns.tar.gz,272547438.0,ossm-2.5/secure-ingressgateway/helm/gatekeeper-constraints/templates/k8srequiredannotations-require-sidecar-annotation.yaml,8087ad542b9071a72156113832527113f63cf822,625.0,gatekeeper,272547438.0
trevorbox/service-mesh-patterns,trevorbox-service-mesh-patterns.tar.gz,272547438.0,ossm-2.5/secure-ingressgateway/helm/gatekeeper-constrainttemplates/templates/constrainttemplate-k8srequiredannotations.yaml,8087ad542b9071a72156113832527113f63cf822,2179.0,gatekeeper,272547438.0
trevorbox/service-mesh-patterns,trevorbox-service-mesh-patterns.tar.gz,272547438.0,ossm-2.4/secure-ingressgateway/helm/gatekeeper-constrainttemplates/templates/constrainttemplate-k8srequiredannotations.yaml,8087ad542b9071a72156113832527113f63cf822,2179.0,gatekeeper,272547438.0
NightProgrammers/devops-research,NightProgrammers-devops-research.tar.gz,483999776.0,flux2/multi-tenants/infrastructure/kyverno-policies/verify-git-repositories.yaml,e99fa222ff0ecd52dd72b7629e4426141c2b02c8,859.0,kyverno,483999776.0
getupcloud/helm-charts,getupcloud-helm-charts.tar.gz,338201759.0,charts-dev/kyverno-config/templates/namespaced-resource-limits-pods.yaml,7f6a40caebf39ece0aa48f2fb74faece8672ff73,3784.0,kyverno,338201759.0
