,repo_id,path,ref,size,technology,id
6523,43355516,ARM/deployments/policyWithParam.json,5d4712faf78d4765bca45b9c7093d580652a772b,1041,azure,43355516
6524,326000526,policies/General/whitelist_resources.json,df7508a3d696c407aa38f087482591295d5ac066,1095,azure,326000526
6525,221338252,policyDefinitions/General/match-multiple-name-patterns/azurepolicy.json,b5833fd03cbaee6051deab81c3a3a87ae09cd982,1120,azure,221338252
6526,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1240.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1027,azure,98492017
6527,221338252,policyDefinitions/Policy/deny-policy-exemption-without-expiration-date/azurepolicy.json,b5833fd03cbaee6051deab81c3a3a87ae09cd982,1109,azure,221338252
6528,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1552.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1077,azure,98492017
6529,98492017,built-in-policies/policyDefinitions/General/AsiaRegionsOnly_Deny.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1052,azure,98492017
6530,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/CMA_C1156.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1153,azure,98492017
6531,221338252,policyDefinitions/Network/audit-servicebus-namespaces-without-network-configuration/azurepolicy.json,b5833fd03cbaee6051deab81c3a3a87ae09cd982,1106,azure,221338252
6532,98492017,built-in-policies/policyDefinitions/Azure Government/Regulatory Compliance/MicrosoftManagedControl1240.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1027,azure,98492017
6533,98492017,built-in-policies/policyDefinitions/Azure Government/Regulatory Compliance/MicrosoftManagedControl1552.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1077,azure,98492017
6534,98492017,built-in-policies/policyDefinitions/General/NotAllowM365_Deny.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1151,azure,98492017
6535,221338252,policyDefinitions/General/deny-fabric-capacity-creation/azurepolicy.json,b5833fd03cbaee6051deab81c3a3a87ae09cd982,1064,azure,221338252
6536,98492017,built-in-policies/policyDefinitions/Azure Government/Regulatory Compliance/MicrosoftManagedControl1440.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1074,azure,98492017
6537,221338252,policyDefinitions/Compute/audit-os-and-data-disks-encrypted-without-a-customer-managed-key/azurepolicy.json,b5833fd03cbaee6051deab81c3a3a87ae09cd982,1136,azure,221338252
6538,326000526,policies/Tags/require_resource_group_tags.json,df7508a3d696c407aa38f087482591295d5ac066,1137,azure,326000526
6539,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1832.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1062,azure,98492017
