repo_name,archive_name
bacalhau-project/bacalhau,bacalhau-project-bacalhau.tar.gz
eclipse-symphony/symphony,eclipse-symphony-symphony.tar.gz
FairwindsOps/charts,FairwindsOps-charts.tar.gz
RWejlgaard/pez-k8s,RWejlgaard-pez-k8s.tar.gz
GoogleCloudPlatform/cloud-foundation-toolkit,GoogleCloudPlatform-cloud-foundation-toolkit.tar.gz
NL-AMS-LOCGOV/zaakafhandelcomponent,NL-AMS-LOCGOV-zaakafhandelcomponent.tar.gz
orchestracities/anubis,orchestracities-anubis.tar.gz
cvat-ai/cvat,cvat-ai-cvat.tar.gz
stackabletech/opa-operator,stackabletech-opa-operator.tar.gz
artazar/flux2-general,artazar-flux2-general.tar.gz
cozystack/cozystack,cozystack-cozystack.tar.gz
DataDog/security-agent-policies,DataDog-security-agent-policies.tar.gz
mxab/nacp,mxab-nacp.tar.gz
microsoft/hcsshim,microsoft-hcsshim.tar.gz
HoussemDellai/ProductsStoreOnKubernetes,HoussemDellai-ProductsStoreOnKubernetes.tar.gz
kubewarden/unique-ingress-policy,kubewarden-unique-ingress-policy.tar.gz
fybrik/charts,fybrik-charts.tar.gz
openshift-4-compliance/openshift-4-compliance-automation,openshift-4-compliance-openshift-4-compliance-automation.tar.gz
ergho/homelab-ops,ergho-homelab-ops.tar.gz
kaapana/kaapana,kaapana-kaapana.tar.gz
scribe-public/gitgat,scribe-public-gitgat.tar.gz
TheDarthMole/upswake,TheDarthMole-upswake.tar.gz
AErmie/DevSecOps,AErmie-DevSecOps.tar.gz
qlonik/musical-parakeet,qlonik-musical-parakeet.tar.gz
ossf/alpha-omega,ossf-alpha-omega.tar.gz
replicatedhq/kots-lint,replicatedhq-kots-lint.tar.gz
intel/policy-library-intel-azure,intel-policy-library-intel-azure.tar.gz
PacktPublishing/Kubernetes---An-Enterprise-Guide-2E,PacktPublishing-Kubernetes---An-Enterprise-Guide-2E.tar.gz
portefaix/portefaix-hub,portefaix-portefaix-hub.tar.gz
phylum-dev/policy,phylum-dev-policy.tar.gz
mxlint/mxlint-extension,mxlint-mxlint-extension.tar.gz
h3mmy/bloopySphere,h3mmy-bloopySphere.tar.gz
CircleCI-Public/circle-policy-agent,CircleCI-Public-circle-policy-agent.tar.gz
kubewarden/rego-policies-library,kubewarden-rego-policies-library.tar.gz
trosvald/home-ops,trosvald-home-ops.tar.gz
TeiaLabs/tauth,TeiaLabs-tauth.tar.gz
AlexRogalskiy/kotlin-patterns,AlexRogalskiy-kotlin-patterns.tar.gz
ratify-project/ratify,ratify-project-ratify.tar.gz
kubev2v/forklift,kubev2v-forklift.tar.gz
CloudNativeGBB/cluster-baseline,CloudNativeGBB-cluster-baseline.tar.gz
kokoichi206/til,kokoichi206-til.tar.gz
Soluto/airbag,Soluto-airbag.tar.gz
9elements/firmware-action,9elements-firmware-action.tar.gz
tyconsulting/BlogPosts,tyconsulting-BlogPosts.tar.gz
cds-snc/opa_checks,cds-snc-opa_checks.tar.gz
prancer-io/prancer-compliance-test,prancer-io-prancer-compliance-test.tar.gz
nakamasato/kubernetes-training,nakamasato-kubernetes-training.tar.gz
tmobile/magtape,tmobile-magtape.tar.gz
